名前,あさひ,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,合計点数,回数
対戦数,5 回,,,03,ドラ,12 回,66.7%,11 位,,0,±0,,東1局,9780,48900,5 回
総局数,46 回,,,05,ガリ,12 回,66.7%,10 位,,1,+28,,東2局,-4740,-23700,5 回
通算スコア,+89.0,,,01,立直,11 回,61.1%,6 位,,2,+71,,東3局,3000,15000,5 回
平均スコア,+17.8,,,10,役牌,10 回,55.6%,5 位,,3,+57,,南1局,10700,42800,4 回
平均順位,1.60 位,,,04,裏ドラ,6 回,33.3%,6 位,,4,+65,,南2局,-1000,-4000,4 回
1位,3 回,60.0%,,08,一盃口,4 回,22.2%,8 位,,5,+89,,南3局,2500,10000,4 回
2位,1 回,20.0%,,06,ツモ,3 回,16.7%,7 位,,,,,,,,
3位,1 回,20.0%,,07,平和,3 回,16.7%,1 位,,,,,,,,
ふっとび,0 回,0.0%,,25,七対子,3 回,16.7%,1 位,,,,,,,,
ふっとばし,1 回,20.0%,,28,混一色,3 回,16.7%,1 位,,,,,,,,
リーチ,20 回,43.5%,,02,一発,2 回,11.1%,1 位,,,,,,,,
副露,6 回,13.0%,,09,タンヤオ,1 回,5.6%,5 位,,,,,,,,
リーチ成功,12 回,60.0%,,30,清一色,1 回,5.6%,1 位,,,,,,,,
副露成功,3 回,50.0%,,11,海底摸月,0 回,0.0%,10 位,,,,,,,,
アガリ,18 回,39.1%,,12,河底撈魚,0 回,0.0%,9 位,,,,,,,,
ツモ,5 回,27.8%,,13,嶺上開花,0 回,0.0%,9 位,,,,,,,,
ロン,13 回,72.2%,,14,槍槓,0 回,0.0%,8 位,,,,,,,,
放銃,3 回,6.5%,,15,ダブル立直,0 回,0.0%,7 位,,,,,,,,
平均アガリ点,9228,166100,,16,一気通貫,0 回,0.0%,7 位,,,,,,,,
平均放銃点,-5367,-16100,,17,チャンタ,0 回,0.0%,6 位,,,,,,,,
親,15 回,32.6%,,18,三色同順,0 回,0.0%,5 位,,,,,,,,
親アガリ,7 回,46.7%,,19,三色同刻,0 回,0.0%,5 位,,,,,,,,
new局数,46 回,,,20,三暗刻,0 回,0.0%,4 位,,,,,,,,
newアガリ,18 回,,,21,三槓子,0 回,0.0%,3 位,,,,,,,,
最大ドラ数,5 個,,,22,対々和,0 回,0.0%,3 位,,,,,,,,
最大点数,78000,,,23,小三元,0 回,0.0%,3 位,,,,,,,,
チョンボ,0 回,0.0%,,24,混老頭,0 回,0.0%,3 位,,,,,,,,
,,,,26,二盃口,0 回,0.0%,2 位,,,,,,,,
,,,,27,純チャン,0 回,0.0%,2 位,,,,,,,,
,,,,29,流し満貫,0 回,0.0%,2 位,,,,,,,,
,,,,31,国士無双,0 回,0.0%,2 位,,,,,,,,
,,,,32,四暗刻,0 回,0.0%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.0%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.0%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.0%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.0%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.0%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.0%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.0%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.0%,1 位,,,,,,,,
,,,,41,天和,0 回,0.0%,1 位,,,,,,,,
,,,,42,地和,0 回,0.0%,1 位,,,,,,,,
,,,,43,人和,0 回,0.0%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.0%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.0%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.0%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.0%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.0%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.0%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.0%,1 位,,,,,,,,
