名前,ともき,,,,役,回数,割合,,回,通算スコア
対戦数,1,,,01,立直,0,0,,0,0
総局数,5,,,02,一発,0,0,,1,7
通算スコア,7,,,03,ドラ,0,0,,,
平均スコア,7,,,04,裏ドラ,0,0,,,
平均順位,2,,,05,ガリ,0,0,,,
1位,0,0,,06,ツモ,0,0,,,
2位,1,1,,07,平和,0,0,,,
3位,0,0,,08,一盃口,0,0,,,
ふっとび,0,0,,09,タンヤオ,0,0,,,
副露,0,0,,10,役牌,0,0,,,
アガリ,2,0.4,,11,海底摸月,0,0,,,
ロン,2,0.4,,12,河底撈魚,0,0,,,
ツモ,0,0,,13,嶺上開花,0,0,,,
放銃,1,0.2,,14,槍槓,0,0,,,
平均アガリ点,8000,16000,,15,ダブル立直,0,0,,,
平均放銃点,-12000,-12000,,16,一気通貫,0,0,,,
,,,,17,チャンタ,0,0,,,
,,,,18,三色同順,0,0,,,
,,,,19,三色同刻,0,0,,,
,,,,20,三暗刻,0,0,,,
,,,,21,三槓子,0,0,,,
,,,,22,対々和,0,0,,,
,,,,23,小三元,0,0,,,
,,,,24,混老頭,0,0,,,
,,,,25,七対子,0,0,,,
,,,,26,二盃口,0,0,,,
,,,,27,純チャン,0,0,,,
,,,,28,混一色,0,0,,,
,,,,29,流し満貫,0,0,,,
,,,,30,清一色,0,0,,,
,,,,31,国士無双,0,0,,,
,,,,32,四暗刻,0,0,,,
,,,,33,字一色,0,0,,,
,,,,34,大三元,0,0,,,
,,,,35,大四喜,0,0,,,
,,,,36,小四喜,0,0,,,
,,,,37,緑一色,0,0,,,
,,,,38,清老頭,0,0,,,
,,,,39,四槓子,0,0,,,
,,,,40,九蓮宝燈,0,0,,,
,,,,41,天和,0,0,,,
,,,,42,地和,0,0,,,
,,,,43,人和,0,0,,,
,,,,44,国士13面,0,0,,,
,,,,45,四暗刻単騎,0,0,,,
,,,,46,純正九蓮,0,0,,,
,,,,47,大車輪,0,0,,,
,,,,48,大竹林,0,0,,,
,,,,49,大数隣,0,0,,,
,,,,50,八連荘,0,0,,,
